eventDate,habitat,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLatitude,verbatimLongitude,verbatimLongitude,verbatimCoordinateSystem,verbatimCoordinateSystem,verbatimSRS,footprintWKT,georeferencedBy,georeferencedDate,georeferenceSources,georeference_verification_status,georeferenceRemarks,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,taxonConceptID,scientificName,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,namePublishedIn,name_published_in_year,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,taxonomicStatus,nomenclaturalStatus,taxonRemarks,species,verbatimIdentificationQualifier,provenance,recordID,dcterms:accessRights,verbatimContinent,verbatimBasisOfRecord
1983-09-26,,Spain,ES,,,,Reus,,,,41.13,1.15,EPSG:4326,7071.0,,31TCF45,41.13,,1.15,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,c8622308-8ab9-435f-9d3a-5a81e113c259,,,PRESERVEDSPECIMEN
1982-09-05,,United States,USA,,,,"Wisconsin, Botany Department garden near Birge Hall,",,,,,,,,,,,,,,,,,,,,,,,a91cd734-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,00be000a-eace-45be-8bea-52bf945a3809,,,PreservedSpecimen
1980-07-21,,,,,,,jardines de la Agricultura,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,I. Porras,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,faa78889-cdec-4345-bc50-72cdce1a2484,,,PreservedSpecimen
2018-07-20,,Spain,ES,,,,"A Coruña: Betanzos, en la Avenida García Naveira",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,b0b26709-6c00-4c23-8d1e-891b645a0744,,,PreservedSpecimen
2011-07-15,,Spain,ES,,,,"Jardín Botánico de Córdoba, Arboretum, parcela 4",,,,37.87,-4.77,EPSG:4326,707.0,,30SUG4393,37.87,,-4.77,,,,,,,,,,,,Not provided,,E. León,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,54efd575-0a40-4362-8e05-21113ddfdeda,,,PreservedSpecimen
2006-07-10,,United States,USA,,,,"New York, Bronx Co., Bronx, in park around Metro North railroad station parking lot across from New York Botanical Garden",,,,40.8669,-73.8814,EPSG:4326,,,,40.8669,,-73.8814,,,,,,,,,,,cdad5821-20fe-11e3-9e2e-000c29035824,Not provided,,Michael Nee,2006-01-01,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,51a6bbd3-1852-4d1f-8faf-655b48f0a842,,,PreservedSpecimen
1960-04-01,,Spain,ES,València/Valencia,,València (Horta),"Valencia (L´Horta), Jardí Botànic",,,,39.48,-0.39,EPSG:4326,707.0,,30SYJ2473,39.48,,-0.39,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,be88131d-d0ae-4929-b4f5-cb87de79afdc,,,PreservedSpecimen
1954-04-17,,Portugal,,,,,"Coimbra, Jardín Botánico.",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,94227e79-486a-4922-942e-c7c9fe716a6f,,,PreservedSpecimen
2000-04-23,,Spain,ES,Illes Balears,,Palma,campus Universidad de las Islas Baleares (UIB),,,,39.62,2.6,EPSG:4326,707.0,,31S 46 438,39.62,,2.60,,,,,,,,,,,,Not provided,,C. Fontcuberta,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,79bcee3e-50ff-4247-a52e-0b81b932f1e2,,Europe,PreservedSpecimen
2006-04-21,,United States,USA,,,,"New York, Bronx Co., Bronx, in park around Metro North railroad station parking lot across from New York Botanical Garden",,,,40.8669,-73.8814,EPSG:4326,,,,40.8669,,-73.8814,,,,,,,,,,,cdad6782-20fe-11e3-9e2e-000c29035824,Not provided,,Michael Nee,2006-01-01,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,6f216a33-9e8e-4f05-b649-1c9b34546a4e,,,PreservedSpecimen
